tree_id,road_side,aspect,neighbourhood,height,bryo_cover,lichen_cover,species
70435,WR,North,kits,low,0,3,2
70435,WR,North,kits,med,0,20,1
70435,WR,North,kits,hig,22,2,2
70435,WR,East,kits,low,0,5,1
70435,WR,East,kits,med,7,12,3
70435,WR,East,kits,hig,25,0,1
70435,WR,South,kits,low,0,9,1
70435,WR,South,kits,med,2,3,2
70435,WR,South,kits,hig,25,0,1
70435,WR,West,kits,low,0,4,1
70435,WR,West,kits,med,0,4,2
70435,WR,West,kits,hig,2,0,1
70436,WR,North,kits,low,3,0,1
70436,WR,North,kits,med,7,3,2
70436,WR,North,kits,hig,15,2,3
70436,WR,East,kits,low,0,0,1
70436,WR,East,kits,med,25,0,1
70436,WR,East,kits,hig,25,0,1
70436,WR,South,kits,low,0,6,1
70436,WR,South,kits,med,0,23,1
70436,WR,South,kits,hig,0,20,1
70436,WR,West,kits,low,1,0,1
70436,WR,West,kits,med,0,1,1
70436,WR,West,kits,hig,0,3,1
71080,WR,North,kits,low,25,0,2
71080,WR,North,kits,med,10,2,3
71080,WR,North,kits,hig,25,0,2
71080,WR,East,kits,low,3,0,1
71080,WR,East,kits,med,4,5,2
71080,WR,East,kits,hig,19,0,1
71080,WR,South,kits,low,1,0,1
71080,WR,South,kits,med,2,4,2
71080,WR,South,kits,hig,18,4,3
71080,WR,West,kits,low,2,0,1
71080,WR,West,kits,med,4,0,1
71080,WR,West,kits,hig,20,4,3
93813,gone,North,kits,low,NA,NA,NA
93813,gone,North,kits,med,NA,NA,NA
93813,gone,North,kits,hig,NA,NA,NA
93813,gone,East,kits,low,NA,NA,NA
93813,gone,East,kits,med,NA,NA,NA
93813,gone,East,kits,hig,NA,NA,NA
93813,gone,South,kits,low,NA,NA,NA
93813,gone,South,kits,med,NA,NA,NA
93813,gone,South,kits,hig,NA,NA,NA
93813,gone,West,kits,low,NA,NA,NA
93813,gone,West,kits,med,NA,NA,NA
93813,gone,West,kits,hig,NA,NA,NA
122190,ER,North,kits,low,0,17,2
122190,ER,North,kits,med,0,25,3
122190,ER,North,kits,hig,1,25,4
122190,ER,East,kits,low,0,0,0
122190,ER,East,kits,med,0,17,1
122190,ER,East,kits,hig,0,22,2
122190,ER,South,kits,low,0,13,1
122190,ER,South,kits,med,0,25,1
122190,ER,South,kits,hig,0,25,1
122190,ER,West,kits,low,0,0,0
122190,ER,West,kits,med,0,7,1
122190,ER,West,kits,hig,0,6,1
122194,ER,North,kits,low,1,24,3
122194,ER,North,kits,med,2,25,3
122194,ER,North,kits,hig,22,6,3
122194,ER,East,kits,low,0,0,0
