TREE_ID,CIVIC_NUMBER,STD_STREET,GENUS_NAME,SPECIES_NAME,CULTIVAR_NAME,COMMON_NAME,ON_STREET_BLOCK,ON_STREET,NEIGHBOURHOOD_NAME,STREET_SIDE_NAME,HEIGHT_RANGE_ID,HEIGHT_RANGE,DIAMETER,DATE_PLANTED,Geom,geo_point_2d,gen_spec,lat,lon,Road
245565,2323,BOUNDARY ROAD,ACER,RUBRUM,,RED MAPLE,2300,BOUNDARY ROAD,RENFREW-COLLINGWOOD,MED,3,30-40,16.0,2013-04-05,"{""coordinates"": [-123.02365499946549, 49.26327899863226], ""type"": ""Point""}","49.26327899863226, -123.02365499946549",ACER RUBRUM,49.26327899863226,-123.02365499946548,Arterial
61137,4921,BOUNDARY ROAD,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,4900,BOUNDARY ROAD,RENFREW-COLLINGWOOD,ODD,3,30-40,8.5,,"{""coordinates"": [-123.02374600016876, 49.239905999487604], ""type"": ""Point""}","49.239905999487604, -123.02374600016876",ACER RUBRUM,49.2399059994876,-123.02374600016876,Arterial
61118,3633,TANNER ST,ACER,RUBRUM,,RED MAPLE,4700,BOUNDARY ROAD,RENFREW-COLLINGWOOD,ODD,4,40-50,13.0,,"{""coordinates"": [-123.02382200016437, 49.242121998793785], ""type"": ""Point""}","49.242121998793785, -123.02382200016437",ACER RUBRUM,49.242121998793785,-123.02382200016436,Arterial
150194,3200,E BROADWAY,ACER,CAMPESTRE,,HEDGE MAPLE,3200,E BROADWAY,RENFREW-COLLINGWOOD,EVEN,2,20-30,14.0,1994-01-27,"{""coordinates"": [-123.03722300041176, 49.26180599885108], ""type"": ""Point""}","49.26180599885108, -123.03722300041176",ACER CAMPESTRE,49.26180599885108,-123.03722300041176,Arterial
184553,5355,BOUNDARY ROAD,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,5300,BOUNDARY ROAD,RENFREW-COLLINGWOOD,ODD,3,30-40,13.5,,"{""coordinates"": [-123.02367900036614, 49.23607099893861], ""type"": ""Point""}","49.23607099893861, -123.02367900036614",ACER RUBRUM,49.23607099893861,-123.02367900036614,Arterial
121806,5075,BOUNDARY ROAD,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,5000,BOUNDARY ROAD,RENFREW-COLLINGWOOD,ODD,3,30-40,10.0,1989-11-29,"{""coordinates"": [-123.0236710002838, 49.23856399943841], ""type"": ""Point""}","49.23856399943841, -123.0236710002838",ACER RUBRUM,49.23856399943841,-123.0236710002838,Arterial
228044,4641,BOUNDARY ROAD,ACER,RUBRUM,AUTUMN FLAME,AUTUMN FLAME RED MAPLE,4600,BOUNDARY ROAD,RENFREW-COLLINGWOOD,ODD,3,30-40,8.5,2009-11-23,"{""coordinates"": [-123.02378099992376, 49.242802998847665], ""type"": ""Point""}","49.242802998847665, -123.02378099992376",ACER RUBRUM,49.24280299884767,-123.02378099992376,Arterial
90862,5675,LANCASTER ST,ACER,CAMPESTRE,,HEDGE MAPLE,5600,LANCASTER ST,RENFREW-COLLINGWOOD,ODD,4,40-50,17.0,,"{""coordinates"": [-123.04179700046309, 49.23319999875525], ""type"": ""Point""}","49.23319999875525, -123.04179700046309",ACER CAMPESTRE,49.23319999875525,-123.04179700046308,Arterial
79590,3378,GRANDVIEW HIGHWAY,ACER,RUBRUM,,RED MAPLE,3300,GRANDVIEW HIGHWAY,RENFREW-COLLINGWOOD,EVEN,4,40-50,28.5,,"{""coordinates"": [-123.03192799976138, 49.25801699932683], ""type"": ""Point""}","49.25801699932683, -123.03192799976138",ACER RUBRUM,49.25801699932683,-123.03192799976138,Arterial
157055,2589,E 41ST AV,ACER,FREEMANII   X,SCARLET SENTINEL,FREEMAN'S S.S. MAPLE,2500,E 41ST AV,RENFREW-COLLINGWOOD,ODD,2,20-30,10.0,1994-12-08,"{""coordinates"": [-123.05347700001525, 49.23287799897519], ""type"": ""Point""}","49.23287799897519, -123.05347700001525",ACER FREEMANII   X,49.23287799897519,-123.05347700001523,Arterial
79585,3378,GRANDVIEW HIGHWAY,ACER,RUBRUM,,RED MAPLE,3300,GRANDVIEW HIGHWAY,RENFREW-COLLINGWOOD,EVEN,4,40-50,23.5,,"{""coordinates"": [-123.03061099986138, 49.25801399875157], ""type"": ""Point""}","49.25801399875157, -123.03061099986138",ACER RUBRUM,49.25801399875157,-123.03061099986138,Arterial
